F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
0 S joaocout    2012    1557  0  80   0 - 168042 do_sys 02:48 ?       00:00:00 /usr/libexec/gsd-usb-protection
0 S joaocout    2013    1557  0  80   0 - 166864 do_sys 02:48 ?       00:00:00 /usr/libexec/gsd-wacom
0 S joaocout    2065    1664  0  80   0 - 247070 do_sys 02:48 ?       00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
0 S joaocout    2066    1557  0  80   0 - 754939 do_sys 02:48 ?       00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
0 S joaocout    2071    1664  0  80   0 - 58060 do_sys 02:48 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
0 S joaocout    2088    1664  0  80   0 - 314418 do_sys 02:48 ?       00:00:02 /usr/bin/gnome-software --gapplication-service
0 S joaocout    2106    1975  0  80   0 - 112422 do_sys 02:48 ?       00:00:00 /usr/libexec/ibus-dconf
0 S joaocout    2110    1975  0  80   0 - 168178 do_sys 02:48 ?       00:00:02 /usr/libexec/ibus-extension-gtk3
0 S joaocout    2119    1557  0  80   0 - 112507 do_sys 02:48 ?       00:00:00 /usr/libexec/ibus-portal
0 S joaocout    2120    1557  0  80   0 - 130875 do_sys 02:48 ?       00:00:00 /usr/bin/abrt-applet --gapplication-service
0 S joaocout    2199    1975  0  80   0 - 93961 do_sys 02:48 ?        00:00:03 /usr/libexec/ibus-engine-simple
0 S joaocout    2241    1557  0  80   0 - 148549 do_sys 02:48 ?       00:00:00 /usr/libexec/gsd-printer
0 S joaocout    2243    1557  0  80   0 - 209393 do_sys 02:48 ?       00:00:01 /usr/libexec/xdg-desktop-portal
0 S joaocout    2256    1557  0  80   0 - 241364 do_sys 02:48 ?       00:00:00 /usr/libexec/xdg-document-portal
4 S root        2272    2256  0  80   0 -   657 -      02:48 ?        00:00:00 fusermount -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
0 S joaocout    2282    1557  0  80   0 - 189423 do_sys 02:48 ?       00:00:01 /usr/libexec/xdg-desktop-portal-gnome
0 S joaocout    2313    1557  0  80   0 - 166912 do_sys 02:48 ?       00:00:00 /usr/libexec/xdg-desktop-portal-gtk
0 S joaocout    2345    1557  0  80   0 - 93856 do_sys 02:48 ?        00:00:00 /usr/libexec/gvfsd-metadata
0 S joaocout    2583    1715  0  80   0 - 235649 do_epo 02:48 ?       00:01:31 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.BLWKQ1 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7
0 S joaocout    2605    1557  0  80   0 - 367941 do_sys 02:48 ?       00:00:00 /usr/libexec/gsd-xsettings
0 S joaocout    2627    1557  0  80   0 - 129561 do_sys 02:48 ?       00:00:00 /usr/libexec/ibus-x11
0 S joaocout    3378    1557  0  80   0 -  1531 do_epo 02:53 ?        00:00:03 /usr/libexec/cgroupify app-glib-google\x2dchrome-3372.scope
0 S joaocout    3379    1557  0  80   0 - 55402 pipe_r 02:53 ?        00:00:00 cat
0 S joaocout    3380    1557  0  80   0 - 55402 pipe_r 02:53 ?        00:00:00 cat
0 S joaocout    3381    1557  0  80   0 -  1531 do_epo 02:53 ?        00:00:13 /usr/libexec/cgroupify app-gnome-google\x2dchrome-3372.scope
0 R joaocout    7915    1557  0  80   0 - 192272 -     03:52 ?        00:00:16 /usr/libexec/gnome-terminal-server
0 S joaocout    7933    7915  0  80   0 - 56372 do_wai 03:52 pts/0    00:00:00 bash
4 S joaocout    8008    1557  0  80   0 - 5458026 do_sys 03:52 ?      00:02:01 /usr/share/code/code --enable-crashpad .
0 S joaocout    8015    8008  0  80   0 - 4307607 do_sys 03:52 ?      00:00:00 /usr/share/code/code --type=zygote --no-zygote-sandbox --enable-crashpad --enable-crashpad
4 S joaocout    8016    8008  0  80   0 - 4307604 do_wai 03:52 ?      00:00:00 /usr/share/code/code --type=zygote --enable-crashpad --enable-crashpad
